GEOID,expected_in_aoi,file_present,path,readable,crs,pixel_size_x,pixel_size_y,width,height,sampled_valid_fraction,unmasked_nonfinite_count,sampled_min,sampled_max,qa_status,qa_note
06077,1,1,06077_ndvi.tif,1,EPSG:5070,90.0,90.0,765,936,0.640027093458466,0,-0.27784430980682373,0.9613710641860962,pass,
06079,1,1,06079_ndvi.tif,1,EPSG:5070,90.0,90.0,1587,1553,0.4326143152002486,0,-0.2766256630420685,0.9535951018333435,pass,
06081,1,1,06081_ndvi.tif,1,EPSG:5070,90.0,90.0,365,776,0.5213529162547663,0,-0.9624007344245911,0.9576048254966736,pass,
06083,1,1,06083_ndvi.tif,1,EPSG:5070,90.0,90.0,1280,2252,0.30628920126554177,0,-0.8925219774246216,0.9715077877044678,pass,
06085,1,1,06085_ndvi.tif,1,EPSG:5070,90.0,90.0,855,842,0.5806656387604006,0,-0.32971733808517456,0.928172767162323,pass,
06087,1,1,06087_ndvi.tif,1,EPSG:5070,90.0,90.0,613,616,0.3820840660155505,0,-0.40516847372055054,0.948166012763977,pass,
06089,1,1,06089_ndvi.tif,1,EPSG:5070,90.0,90.0,1857,1178,0.563990882934576,0,-0.48111656308174133,0.9354998469352722,pass,
06095,1,1,06095_ndvi.tif,1,EPSG:5070,90.0,90.0,808,624,0.5679522880172633,0,-0.5620582699775696,0.9266447424888611,pass,
06097,1,1,06097_ndvi.tif,1,EPSG:5070,90.0,90.0,897,1076,0.5288798266008545,0,-0.36195358633995056,0.9535585641860962,pass,
06099,1,1,06099_ndvi.tif,1,EPSG:5070,90.0,90.0,1130,1058,0.40707295448082037,0,-0.37232083082199097,0.9285885095596313,pass,
06101,1,1,06101_ndvi.tif,1,EPSG:5070,90.0,90.0,436,792,0.5686133120192753,0,-0.3711256682872772,0.9438283443450928,pass,
06107,1,1,06107_ndvi.tif,1,EPSG:5070,90.0,90.0,1551,1380,0.722161485343724,0,-0.6563974618911743,0.9679999947547913,pass,
06111,1,1,06111_ndvi.tif,1,EPSG:5070,90.0,90.0,1241,2027,0.23681707107155733,0,-0.9633195996284485,0.9716376662254333,pass,
06113,1,1,06113_ndvi.tif,1,EPSG:5070,90.0,90.0,741,945,0.469584216952638,0,-0.380401611328125,0.9373995065689087,pass,
06115,1,1,06115_ndvi.tif,1,EPSG:5070,90.0,90.0,759,726,0.3771237346515823,0,-0.4810951352119446,0.9387385249137878,pass,
08001,1,1,08001_ndvi.tif,1,EPSG:5070,90.0,90.0,1288,429,0.6891550478507,0,-0.35552284121513367,0.9218787550926208,pass,
08005,1,1,08005_ndvi.tif,1,EPSG:5070,90.0,90.0,1288,314,0.6416356767021403,0,-0.21252843737602234,0.9045192003250122,pass,
08013,1,1,08013_ndvi.tif,1,EPSG:5070,90.0,90.0,636,477,0.784845008768113,0,-0.6169024705886841,0.9602590799331665,pass,
08014,1,1,08014_ndvi.tif,1,EPSG:5070,90.0,90.0,210,179,0.3030859271082735,0,-0.32176673412323,0.9110631942749023,pass,
08019,1,1,08019_ndvi.tif,1,EPSG:5070,90.0,90.0,506,383,0.6588354884983333,0,-0.043086808174848557,0.9435482025146484,pass,
08031,1,1,08031_ndvi.tif,1,EPSG:5070,90.0,90.0,511,344,0.2900150184317116,0,-0.21652069687843323,0.8826858401298523,pass,
08035,1,1,08035_ndvi.tif,1,EPSG:5070,90.0,90.0,685,577,0.6858075370972435,0,-0.16156141459941864,0.9010763168334961,pass,
08039,1,1,08039_ndvi.tif,1,EPSG:5070,90.0,90.0,944,945,0.6651073894717963,0,-0.15858078002929688,0.9193790555000305,pass,
08041,1,1,08041_ndvi.tif,1,EPSG:5070,90.0,90.0,1007,839,0.8079865257855323,0,-0.24782033264636993,0.9510077238082886,pass,
08047,1,1,08047_ndvi.tif,1,EPSG:5070,90.0,90.0,291,258,0.6484589360398519,0,-0.03904694691300392,0.9114546179771423,pass,
08059,1,1,08059_ndvi.tif,1,EPSG:5070,90.0,90.0,420,979,0.6061846393307068,0,-0.33599328994750977,0.8951632976531982,pass,
08069,1,1,08069_ndvi.tif,1,EPSG:5070,90.0,90.0,1158,1019,0.7155114991330523,0,-0.38539552688598633,0.9601156711578369,pass,
08077,1,1,08077_ndvi.tif,1,EPSG:5070,90.0,90.0,1717,1156,0.5397636700368592,0,-0.3856430947780609,0.9400586485862732,pass,
08093,1,1,08093_ndvi.tif,1,EPSG:5070,90.0,90.0,837,1124,0.7538924816217893,0,-0.9840263724327087,0.9365528225898743,pass,
08101,1,1,08101_ndvi.tif,1,EPSG:5070,90.0,90.0,1025,1051,0.7140265948806015,0,-0.334297776222229,0.9476069211959839,pass,
08119,1,1,08119_ndvi.tif,1,EPSG:5070,90.0,90.0,383,630,0.7451075469352232,0,-0.11343634873628616,0.9227104187011719,pass,
08123,1,1,08123_ndvi.tif,1,EPSG:5070,90.0,90.0,1488,1304,0.6634584858829738,0,-0.5164605379104614,0.950914204120636,pass,
10001,1,1,10001_ndvi.tif,1,EPSG:5070,90.0,90.0,511,696,0.5405560429178757,0,-0.2139001488685608,0.9557462930679321,pass,
10003,1,1,10003_ndvi.tif,1,EPSG:5070,90.0,90.0,351,706,0.5663301130723227,0,-0.23740926384925842,0.9368852972984314,pass,
10005,1,1,10005_ndvi.tif,1,EPSG:5070,90.0,90.0,732,678,0.6332974676402792,0,-0.46691882610321045,0.974892258644104,pass,
12001,1,1,12001_ndvi.tif,1,EPSG:5070,90.0,90.0,711,592,0.7397033109058425,0,-0.07848187536001205,0.9806827306747437,pass,
