GEOID,adult_population,baseline_ndvi,feasible_increment,median_income,acs_population,households,low_income_households,high_income_households,occupied_households,renter_households,race_total,nonhisp_white,svi,ice_income,renter_share,minority_share,cases,rate,health_efficiency,z_health_efficiency,z_svi,z_baseline_ndvi,z_renter_share,health_score,equity_score,balanced_score,safeguard_flag,local_moran_i,lisa_p,priority_cluster,priority_decile
06075061501,1867.4072471261024,0.1586577057765395,1.0848992228507996,230332.0,1807.0,1195.0,245.0,688.0,1195.0,387.0,1807.0,613.0,0.1534,0.3707112970711297,0.3238493723849372,0.6607636967349197,11.723095893859863,0.006277739315782052,10.805700333211574,0.09177756963897442,0.09617058311575284,0.22653981997973668,0.154085898996674,0.09177756963897442,0.19556751591304017,0.1436725427760073,0,-0.8815999168369199,0.002,low-high outlier,3.0
06075016101,2069.9492950439453,0.20172226319102932,0.0,-666666666.0,2444.0,1572.0,596.0,350.0,1572.0,1422.0,2444.0,1017.0,0.7838,-0.15648854961832062,0.9045801526717557,0.5838788870703764,12.50623607635498,0.0060418079352467765,,,0.8180797947872291,0.3781436821708176,0.8990890760396294,,,,1,,,not ranked (missing SVI or zero feasible capacity),
06075013001,2199.9298362731934,0.20721112380749615,0.504580593109131,127031.0,1770.0,863.0,35.0,407.0,863.0,634.0,1770.0,1435.0,0.1888,0.43105446118192353,0.7346465816917729,0.18926553672316382,14.987775802612305,0.006812842644110165,29.70343292487815,0.25876342946082076,0.1367092666391828,0.39746658988064826,0.6810860795326861,0.25876342946082076,0.26760996957202715,0.2631866995164239,0,-0.0013041998286290914,0.994,not significant,5.0
06075012001,1676.7334060668945,0.09430685782855427,0.0,91040.0,1738.0,1004.0,123.0,267.0,1004.0,910.0,1738.0,660.0,0.3694,0.14342629482071714,0.9063745019920318,0.620253164556962,10.495361328125,0.006259409689190793,,,0.3435252622417663,0.0,0.901390996292023,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075020602,2081.3405570983887,0.3475076223104975,1.8281063079833983,204044.0,2369.0,1317.0,114.0,768.0,1317.0,730.0,2369.0,1672.0,0.1565,0.49658314350797267,0.554290053151101,0.29421696918531026,11.910486221313477,0.005722507150832619,6.515204378049572,0.053865499888827884,0.09972058082543173,0.8913644098495054,0.44971176405921215,0.053865499888827884,0.07813029175588923,0.06599789582235856,0,0.182142091831364,0.768,not significant,2.0
06075012902,3084.9359769821167,0.2181729578579628,1.1578687310218814,210921.0,2735.0,1700.0,38.0,1053.0,1700.0,1313.0,2735.0,1908.0,0.104,0.5970588235294118,0.7723529411764706,0.30237659963436925,21.57135772705078,0.006992481493296102,18.63022737302259,0.16091736559620476,0.03959965187119234,0.4360564762866162,0.7294585071091088,0.16091736559620476,0.1789100895100273,0.169913727553116,0,0.08326661505361868,0.778,not significant,3.0
06075035201,4402.359280807956,0.1937012849934775,20.84999999999998,112413.0,5136.0,1867.0,191.0,747.0,1867.0,490.0,5136.0,1455.0,0.5475,0.2978039635779325,0.26245313336904125,0.7167056074766356,23.68016815185547,0.005378972192271753,1.1357394797052993,0.006330983931734443,0.5474783564655765,0.34990674334440897,0.07532239157118448,0.006330983931734443,0.2922969052271576,0.14931394457944602,0,-0.012073118100218586,0.834,not significant,5.0
06075047702,3152.3659172058105,0.21816630045713373,0.45000000000000007,119957.0,3441.0,1592.0,152.0,644.0,1592.0,975.0,3441.0,1373.0,0.4563,0.30904522613065327,0.6124371859296482,0.6009880848590525,16.457542419433594,0.005220695455945421,36.572316487630204,0.3194588817950389,0.4430397141679263,0.43603303966637813,0.5243070845183084,0.3194588817950389,0.3993883849063369,0.3594236333506879,0,0.018297215685235155,0.918,not significant,7.0
06075025401,2704.1997146606445,0.31703903393457866,2.82298480272293,183902.0,3706.0,1357.0,99.0,774.0,1357.0,603.0,3706.0,1695.0,0.5263,0.4974207811348563,0.4443625644804716,0.5426335671883432,16.505529403686523,0.006103665093300195,5.846836082066754,0.04795960329298075,0.5232009527735788,0.7841032198913481,0.30868888205608425,0.04795960329298075,0.23948465213354073,0.14372212771326073,0,0.06306246773104732,0.706,not significant,4.0
06075016500,3881.793037414551,0.23371452533510173,0.5394890904426576,180152.0,5393.0,2303.0,336.0,1210.0,2303.0,1573.0,5393.0,3650.0,0.438,0.3795049934867564,0.683022145028224,0.3231967365102911,27.34626579284668,0.007044751105808703,50.689191454101,0.4441996935743918,0.42208327607530577,0.4907687918309246,0.6148585423795814,0.4441996935743918,0.4462136746389142,0.445206684106653,0,-0.18411133508704233,0.496,not significant,8.0
06075030101,3347.9771156311035,0.273667111362253,1.3064913988113402,151384.0,4588.0,2098.0,84.0,1111.0,2098.0,1612.0,4588.0,2082.0,0.2515,0.48951382268827454,0.7683508102955195,0.546207497820401,22.051860809326172,0.006586622323781724,16.87868808733773,0.1454402551961557,0.2085108332188173,0.6314173137219119,0.7243242860165439,0.1454402551961557,0.2009863221663771,0.1732132886812664,0,0.4216645852200201,0.096,not significant,3.0
06075031302,4794.126142024994,0.24415629091214175,9.897207283973708,127050.0,4727.0,1733.0,107.0,707.0,1733.0,644.0,4727.0,431.0,0.6062,0.3462204270051933,0.37160992498557416,0.9088216627882377,21.682636260986328,0.0045227504697712825,2.190783282481762,0.015653657734094623,0.6146992808391736,0.5275278364981413,0.2153565680099957,0.015653657734094623,0.29384240168603687,0.15474802971006574,0,-0.0238949938621994,0.716,not significant,5.0
06075015300,2165.522247314453,0.22995371976688903,0.7346423864364625,215417.0,2427.0,1077.0,62.0,649.0,1077.0,650.0,2427.0,1525.0,0.3534,0.5450324976787372,0.6035283194057567,0.37165224557066334,14.148009300231934,0.006533301293846055,19.258362383444588,0.1664677491827402,0.32520269341761715,0.47752930480675443,0.5128781503383898,0.1664677491827402,0.27542542156652294,0.22094658537463158,0,-0.10694670175208101,0.32,not significant,5.0
06075020900,3283.672062397003,0.1534904680091005,0.0,94360.0,3644.0,1557.0,225.0,462.0,1557.0,1318.0,3644.0,1212.0,0.8161,0.15221579961464354,0.8464996788696211,0.6673984632272228,21.06197166442871,0.0064141519811372295,,,0.8550684806009803,0.2083491488237899,0.8245792705056785,,,,1,,,not ranked (missing SVI or zero feasible capacity),
