tractfips,depression_crudeprev
12057001400,17.9
12057001500,17.8
12057001600,18.2
12057001700,17.7
12057001800,18.0
12057001900,17.8
12057002000,18.2
12057002100,17.2
12057002200,18.0
12057002300,18.0
12057002400,16.9
12057002500,17.1
12057002600,19.5
12057002700,15.7
12057002800,15.7
12057002900,17.9
12057003000,20.0
12057003100,17.5
12057003200,18.0
12057003300,18.5
12057003400,18.1
12057003500,17.5
12057003600,19.3
12057003700,19.5
12057003800,17.0
12057003900,18.5
12057004000,15.9
12057004100,19.2
12057004200,16.5
12057004300,21.9
12057004400,17.5
12057004500,15.2
12057004600,15.0
12057004700,16.6
12057004800,16.2
12057004900,18.6
12057005000,22.1
12057005101,17.1
12057005102,17.1
12057005301,17.3
12057005302,18.9
12057005401,16.0
12057005500,17.5
12057005700,17.6
12057005800,16.1
12057005900,15.8
12057006000,16.9
12057006101,16.8
12057006103,15.4
12057006200,16.9
12057006300,16.8
12057006400,16.1
12057006501,17.9
12057006502,18.2
12057006600,18.0
12057006700,16.4
12057006801,17.9
12057006802,16.5
12057006900,16.8
12057007001,17.4
12057007002,20.2
12057007102,17.8
12057007103,18.4
12057007200,17.1
12057007300,19.6
12057010103,20.0
12057010105,21.0
12057010106,19.7
12057010107,17.1
12057010108,19.0
12057010203,20.8
12057010204,19.4
12057010205,16.4
12057010209,16.3
12057010210,16.7
12057010211,17.5
12057010212,15.9
12057010213,19.4
12057010214,18.1
12057010303,22.0
12057010304,18.6
12057010305,19.1
12057010401,19.4
12057010402,17.9
12057010501,18.5
12057010502,17.3
12057010600,17.4
12057010701,17.9
12057010702,18.3
12057010805,21.0
12057010808,19.6
12057010809,19.7
12057010810,16.6
12057010811,18.9
12057010812,20.7
12057010813,20.6
12057010814,16.6
12057010815,20.6
12057010816,19.6
12057010817,20.2
12057010818,19.3
12057010900,28.7
12057011003,19.2
12057011005,17.4
12057011006,17.5
12057011007,17.3
12057011008,17.1
12057011010,19.4
12057011012,15.8
12057011013,16.8
12057011014,17.9
12057011015,18.3
12057011016,15.9
12057011103,17.0
12057011106,17.7
12057011107,17.2
12057011108,15.8
12057011109,17.1
12057011203,17.3
12057011204,18.1
12057011205,17.8
12057011206,18.6
12057011301,16.8
12057011303,17.5
12057011304,16.6
12057011407,16.1
12057011408,16.9
12057011409,16.0
12057011410,16.7
12057011411,15.2
12057011412,18.3
12057011413,17.3
12057011414,17.5
12057011415,16.5
12057011416,17.1
12057011417,18.1
12057011418,16.2
12057011504,17.6
12057011506,16.8
12057011507,16.5
12057011509,17.0
12057011510,16.2
12057011512,16.3
12057011514,17.0
12057011515,17.7
12057011516,17.1
12057011517,16.2
12057011518,16.9
12057011519,16.8
12057011520,17.2
12057011521,17.7
12057011522,16.0
12057011523,16.5
12057011524,18.0
12057011603,17.2
12057011605,17.3
12057011606,17.3
12057011607,18.0
12057011608,15.7
12057011610,17.3
12057011611,16.4
12057011612,16.5
12057011613,17.4
12057011614,17.4
12057011615,17.6
12057011706,17.4
12057011708,17.4
12057011709,17.9
12057011710,17.8
12057011712,17.3
12057011802,15.9
12057011803,18.6
12057011804,16.5
12057011901,18.5
12057011902,17.6
12057011904,18.7
12057011905,17.6
12057011906,17.2
12057012001,17.4
12057012002,19.6
12057012103,20.0
12057012104,20.8
12057012106,17.9
12057012107,20.6
12057012108,18.8
12057012206,18.3
12057012207,18.0
12057012208,17.4
12057012209,17.1
12057012210,18.2
12057012211,17.7
12057012212,19.5
12057012213,17.6
12057012301,17.5
12057012303,19.0
12057012304,18.6
12057012401,20.3
12057012402,18.7
12057012403,20.4
12057012501,19.9
12057012503,18.2
12057012504,17.7
12057012600,18.2
12057012701,19.2
12057012702,19.7
12057012800,19.4
12057012900,18.0
12057013001,20.0
12057013002,19.4
12057013003,19.8
12057013004,18.4
12057013100,20.6
12057013203,17.6
12057013204,19.0
12057013205,18.0
12057013206,16.7
12057013207,19.1
12057013208,17.0
12057013305,17.5
12057013307,18.8
12057013310,17.8
12057013311,18.8
12057013312,18.2
12057013313,17.6
12057013314,18.6
12057013315,18.6
12057013316,20.4
12057013317,20.5
12057013318,18.9
12057013319,19.2
12057013320,18.3
12057013321,17.4
12057013322,18.1
12057013406,19.3
12057013407,17.8
12057013409,17.5
12057013410,20.1
12057013411,17.4
12057013412,18.0
12057013413,17.5
12057013414,17.7
12057013415,18.1
12057013501,17.5
12057013503,19.0
12057013504,17.2
12057013505,18.3
12057013602,19.6
12057013604,21.4
12057013702,17.6
12057013703,17.6
12057013704,18.5
12057013801,20.3
12057013802,21.0
12057013803,22.4
12057013804,18.9
12057013806,19.1
12057013807,17.5
12057013903,19.8
12057013907,19.3
12057013908,18.1
12057013912,19.9
12057013913,17.3
12057013914,18.6
12057013915,17.2
12057013916,17.7
12057013917,18.1
12057013918,20.3
12057013919,18.1
12057013920,19.3
12057013921,16.9
12057013922,17.5
12057013923,17.7
12057014002,18.6
12057014003,17.2
12057014007,18.1
12057014008,13.0
12057014009,12.0
12057014010,14.4
12057014011,13.7
12057014012,13.7
12057014013,21.1
12057014014,11.9
12057014015,14.3
12057014016,12.9
12057014104,18.4
12057014106,18.3
12057014108,19.9
12057014109,18.4
12057014117,17.2
12057014118,17.1
12057014119,17.5
12057014121,18.0
12057014122,18.2
12057980400,18.3
12059960100,22.9
12059960200,22.6
12059960300,22.5
12059960400,21.6
12061050100,19.1
12061050200,18.3
12061050301,14.7
12061050302,18.0
12061050401,19.6
12061050402,17.3
12061050501,13.6
12061050503,14.4
12061050504,14.5
12061050505,14.2
12061050601,17.0
12061050602,19.1
12061050603,19.4
12061050604,14.0
12061050605,15.4
12061050606,20.4
