GEOID,name,acs_year,population_total,population_adult,adult_fraction
17063,Grundy,2023,52920,39848,0.75298564
17073,Henry,2023,48948,38155,0.77950069
17077,Jackson,2023,52706,42699,0.81013547
17083,Jersey,2023,21336,17080,0.80052493
17087,Johnson,2023,13350,10976,0.82217228
17089,Kane,2023,516097,390231,0.75611949
17091,Kankakee,2023,106833,82264,0.77002424
17093,Kendall,2023,135053,97903,0.72492281
17097,Lake,2023,711885,543787,0.76386916
17111,McHenry,2023,311366,239710,0.76986569
17113,McLean,2023,170882,134203,0.78535481
17115,Macon,2023,102591,79357,0.77352789
17117,Macoupin,2023,44566,35322,0.79257730
17119,Madison,2023,264631,207647,0.78466620
17123,Marshall,2023,11715,9236,0.78839095
17129,Menard,2023,12169,9482,0.77919303
17131,Mercer,2023,15619,12326,0.78916704
17133,Monroe,2023,34969,27240,0.77897566
17143,Peoria,2023,179831,136775,0.76057521
17147,Piatt,2023,16702,13041,0.78080469
17161,Rock Island,2023,142995,110772,0.77465646
17163,St. Clair,2023,254777,195450,0.76714146
17167,Sangamon,2023,195217,152237,0.77983475
17175,Stark,2023,5324,4171,0.78343351
17179,Tazewell,2023,130555,101456,0.77711309
17183,Vermilion,2023,73179,55979,0.76495989
17197,Will,2023,698450,530845,0.76003293
17199,Williamson,2023,66902,52487,0.78453559
17201,Winnebago,2023,283289,216539,0.76437490
17203,Woodford,2023,38348,29140,0.75988318
18003,Allen,2023,388791,289409,0.74438194
18005,Bartholomew,2023,82881,62786,0.75754395
18007,Benton,2023,8708,6553,0.75252641
18011,Boone,2023,72827,54064,0.74236204
18013,Brown,2023,15543,12957,0.83362285
18015,Carroll,2023,20443,15963,0.78085408
18019,Clark,2023,122800,95510,0.77776873
18021,Clay,2023,26431,20289,0.76762135
18029,Dearborn,2023,50828,39532,0.77776029
18035,Delaware,2023,112109,91635,0.81737416
18039,Elkhart,2023,206868,149701,0.72365470
18043,Floyd,2023,80512,62388,0.77489070
18047,Franklin,2023,22929,17743,0.77382354
18057,Hamilton,2023,357176,264748,0.74122561
18059,Hancock,2023,82013,62917,0.76715887
18061,Harrison,2023,39785,30892,0.77647355
18063,Hendricks,2023,179379,135169,0.75353860
18067,Howard,2023,83610,64405,0.77030260
18073,Jasper,2023,33198,25488,0.76775709
18081,Johnson,2023,163983,123924,0.75571248
18089,Lake,2023,498990,382434,0.76641616
18091,LaPorte,2023,112141,88186,0.78638500
18095,Madison,2023,130949,102714,0.78438171
18097,Marion,2023,971822,728172,0.74928536
18105,Monroe,2023,139822,117497,0.84033271
18109,Morgan,2023,72202,56130,0.77740229
18111,Newton,2023,13859,10945,0.78973952
18115,Ohio,2023,5993,4767,0.79542800
18119,Owen,2023,21434,17158,0.80050387
18121,Parke,2023,16346,12718,0.77804968
18127,Porter,2023,174150,136507,0.78384726
18129,Posey,2023,25163,19590,0.77852402
18133,Putnam,2023,37091,30005,0.80895635
18141,St. Joseph,2023,272574,209013,0.76681195
18145,Shelby,2023,45104,34922,0.77425505
18153,Sullivan,2023,20766,16774,0.80776269
18157,Tippecanoe,2023,187399,148979,0.79498290
18161,Union,2023,7028,5575,0.79325555
18163,Vanderburgh,2023,179908,140749,0.78233875
18165,Vermillion,2023,15452,12034,0.77879886
18167,Vigo,2023,106201,84323,0.79399441
18171,Warren,2023,8469,6592,0.77836817
18173,Warrick,2023,64650,49611,0.76737819
18175,Washington,2023,28167,21681,0.76973054
18183,Whitley,2023,34388,26452,0.76922182
